"","Name","Vorname","Kanton","Partei","Alter"
"1","Grünenfelder","Max","Zürich","Mitte",88
"2","Lindner","Roland","Basel-Stadt","SVP",86
"3","Ruggaber","Christa","Aargau","FDP",86
"4","Hofmann","Hans","Zürich","SVP",85
"5","Meli","Hedy","Zürich","Mitte",84
"6","Aicher","Jean","Zürich","Linksparteien",84
"7","Angst","Rosa","Zürich","Übrige",83
"8","Franchi","Corina","Tessin","Mitte",83
"9","Berset","René","Zürich","Mitte",82
"10","von Scarpatetti","Beat","Basel-Landschaft","Grüne",82
"11","Pfeiffer","Peter","Thurgau","GLP",82
"12","Definti","Gianfranco","Tessin","Mitte",82
"13","Brändli","Otto","Zürich","GLP",81
"14","Verrey","Etiennette J.","Basel-Stadt","SP",81
"15","Maurizio","Marco","Tessin","Grüne",81
"16","Schärer","Alec André","Jura","Übrige",81
"17","Sigg-Riegler","Christine","Zürich","Mitte",80
"18","Baumgartner","Anna-Maria","Zürich","Mitte",80
"19","Jenny","Rolf Walter","Zürich","SVP",80
"20","Garzotto","Marina","Zürich","SVP",80
