"","Année","UDC","PLR","Le Centre","PVL","PS","Les Vert-e-s"
"1",1975,56.76,52.09,50.83,NA,49.73,NA
"2",1979,50.96,51.2,50.91,NA,48.65,29
"3",1983,52.52,51,51.12,NA,50.49,42.67
"4",1987,52.08,51.27,50.17,NA,48.51,41.89
"5",1991,52.08,51,51.17,NA,48.02,46.5
"6",1995,50.93,52.83,50.68,NA,48.76,50.25
"7",1999,51.11,53.33,51.34,NA,47.43,50.11
"8",2003,52.58,53.6,50.36,NA,49.02,49.85
"9",2007,52.53,51.97,52.39,43,49.63,48.05
"10",2011,52.28,49.63,50.57,45.5,48.7,49.47
"11",2015,49.26,51.42,51.67,46.14,50.23,47.64
"12",2019,49.87,51.46,51.99,48.22,47.24,45.07
"13",2023,NA,NA,NA,NA,NA,NA
