"","Nom","Prénom","Canton","Parti","Age","Date de naissance"
"1","Riem","Katja","Berne","UDC",27,1996-12-26
"2","Silberschmidt","Andri","Zurich","PLR",30,1994-02-26
"3","Marti","Samira","Bâle-Campagne","PS",30,1994-01-23
"4","Egger","Mike","Saint-Gall","UDC",31,1992-08-02
"5","Ryser","Franziska","Saint-Gall","Les Vert-e-s",32,1991-10-22
"6","Fischer","'Benjamin 'Beni''","Zurich","UDC",32,1991-08-16
"7","Molina","Fabian","Zurich","PS",33,1990-07-08
"8","Rosenwasser","Anna","Zurich","PS",33,1990-05-01
"9","Funiciello","Tamara","Berne","PS",34,1990-03-20
"10","Schläfli","Nina","Thurgovie","PS",34,1990-01-01
"11","Revaz","Estelle","Genève","PS",34,1989-07-12
"12","Porchet","Léonore","Vaud","Les Vert-e-s",34,1989-07-09
"13","Schnyder","Markus","Glaris","UDC",35,1988-12-04
"14","Wyss","Sarah","Bâle-Ville","PS",35,1988-08-03
"15","Stadler","Simon","Uri","Le Centre",35,1988-05-02
"16","Meyer","Mattea","Zurich","PS",36,1987-11-09
"17","Blunschy","Dominik","Schwyz","Le Centre",36,1987-10-27
"18","Gredig","Corina","Zurich","PVL",36,1987-09-08
"19","Heimgartner","Stefanie","Argovie","UDC",36,1987-04-25
"20","Kälin","Irène","Argovie","Les Vert-e-s",37,1987-02-06
