"","Gemeinde","Kanton","Anteil"
"1",NA,NA,79.545454545
"2","Kippel","VS",79.479597871
"3","Niedergesteln","VS",77.814448111
"4","Törbel","VS",76.657060519
"5","Wiler (Lötschen)","VS",74.842767296
"6","Ferden","VS",74.354561102
"7","Blatten","VS",73.551988835
"8","Binn","VS",73.105134474
"9","Oberegg","AI",69.982547993
"10","Sumvitg","GR",69.69808542
"11","Unterbäch","VS",67.947923125
"12","Guttet-Feschel","VS",67.039800995
"13","Disentis/Mustér","GR",66.772060937
"14","Agarn","VS",65.898617512
"15","Bürchen","VS",65.809327846
"16","Saas-Fee","VS",64.841498559
"17","Steg-Hohtenn","VS",64.649681529
"18","Appenzell","AI",64.239828694
"19","Staldenried","VS",64.076190476
"20","Termen","VS",64.03803132
"21",NA,NA,63.610719323
"22","Gampel-Bratsch","VS",62.6953125
"23","Raron","VS",62.447885646
"24","Stalden VS","VS",62.385110294
"25","Embd","VS",62.317518248
"26","Medel (Lucmagn)","GR",62.218649518
"27","Varen","VS",61.56448203
"28","Simplon","VS",61.471861472
"29",NA,NA,61.273209549
"30","Lalden","VS",60.727127447
"31","Trun","GR",60.577777778
"32","Goms","VS",60.507246377
"33","Ried-Brig","VS",60.43309718
"34","Saas-Grund","VS",59.890383657
"35","Saas-Almagell","VS",59.766925638
"36","Ausserberg","VS",59.644760213
"37","Buseno","GR",59.545454545
"38","Salgesch","VS",59.509620296
"39","Leukerbad","VS",58.944461491
"40","Courchavon","JU",58.846153846
"41","Visperterminen","VS",58.68746638
"42","Eischoll","VS",58.321060383
"43","Randa","VS",57.910673732
"44","Leuk","VS",57.71632471
"45","Tujetsch","GR",57.459095284
"46","Zeneggen","VS",57.418111753
"47","Isenthal","UR",57.051282051
"48","Obergoms","VS",56.314127861
"49","Schlatt-Haslen","AI",56.140350877
"50","Lumnezia","GR",56.083986845
