"","Commune","Canton","Pourcentage"
"1","Corippo",21,79.545454545
"2","Kippel",23,79.479597871
"3","Niedergesteln",23,77.814448111
"4","Törbel",23,76.657060519
"5","Wiler (Lötschen)",23,74.842767296
"6","Ferden",23,74.354561102
"7","Blatten",23,73.551988835
"8","Binn",23,73.105134474
"9","Oberegg",16,69.982547993
"10","Sumvitg",18,69.69808542
"11","Unterbäch",23,67.947923125
"12","Guttet-Feschel",23,67.039800995
"13","Disentis/Mustér",18,66.772060937
"14","Agarn",23,65.898617512
"15","Bürchen",23,65.809327846
"16","Saas-Fee",23,64.841498559
"17","Steg-Hohtenn",23,64.649681529
"18","Appenzell",16,64.239828694
"19","Staldenried",23,64.076190476
"20","Termen",23,64.03803132
"21","Rüte",16,63.610719323
"22","Gampel-Bratsch",23,62.6953125
"23","Raron",23,62.447885646
"24","Stalden (VS)",23,62.385110294
"25","Embd",23,62.317518248
"26","Medel (Lucmagn)",18,62.218649518
"27","Varen",23,61.56448203
"28","Simplon",23,61.471861472
"29","Schwende",16,61.273209549
"30","Lalden",23,60.727127447
"31","Trun",18,60.577777778
"32","Goms",23,60.507246377
"33","Ried-Brig",23,60.43309718
"34","Saas-Grund",23,59.890383657
"35","Saas-Almagell",23,59.766925638
"36","Ausserberg",23,59.644760213
"37","Buseno",18,59.545454545
"38","Salgesch",23,59.509620296
"39","Leukerbad",23,58.944461491
"40","Courchavon",26,58.846153846
"41","Visperterminen",23,58.68746638
"42","Eischoll",23,58.321060383
"43","Randa",23,57.910673732
"44","Leuk",23,57.71632471
"45","Tujetsch",18,57.459095284
"46","Zeneggen",23,57.418111753
"47","Isenthal",4,57.051282051
"48","Obergoms",23,56.314127861
"49","Schlatt-Haslen",16,56.140350877
"50","Lumnezia",18,56.083986845
