"","Comune","Cantone","Percentuale"
"1","Gonten","AI",91.760299625
"2","Schlatt-Haslen","AI",87.861271676
"3","Schwende-Rüti","AI",86.909448819
"4","Appenzello","AI",86.030150754
"5","Oberegg","AI",83.962264151
"6","Buseno","GR",82.251082251
"7","Kippel","VS",81.403508772
"8","Wiler (Lötschen)","VS",76.880222841
"9","Altdorf UR","UR",72.623362141
"10","Sumvitg","GR",70.609037328
"11","Realp","UR",69.491525424
"12","Ferden","VS",68.475452196
"13","Lax","VS",66.042780749
"14","Binn","VS",65.962441315
"15","Seedorf UR","UR",65.069356873
"16","Erstfeld","UR",65.034965035
"17","Disentis/Mustér","GR",64.953145917
"18","Andermatt","UR",64.748201439
"19","Niedergesteln","VS",64.671130366
"20","Cama","GR",64.06779661
"21","Blatten","VS",64.066666667
"22","Fiesch","VS",63.813813814
"23","Raron","VS",63.66149593
"24","Attinghausen","UR",63.496932515
"25","Saas-Almagell","VS",63.253697383
"26","Agarn","VS",63.193217944
"27","Courchavon","JU",62.692307692
"28","Sempione","VS",62.335766423
"29","Bettmeralp","VS",62.158054711
"30","Schattdorf","UR",62.007356805
"31","Saas-Fee","VS",61.895734597
"32","Grächen","VS",61.686356266
"33","Stalden VS","VS",61.60280626
"34","Termen","VS",61.489151874
"35","Isenthal","UR",61.452513966
"36","Staldenried","VS",61.195779601
"37","Leukerbad","VS",59.639523656
"38","Saas-Balen","VS",59.509202454
"39","Trun","GR",59.184700554
"40","Salgesch","VS",59.038749376
"41","Ried-Brig","VS",57.810340061
"42","Steg-Hohtenn","VS",57.604306864
"43","Bürglen UR","UR",57.060333761
"44","Ausserberg","VS",56.996103436
"45","Riederalp","VS",56.962025316
"46","Silenen","UR",56.727828746
"47","Flüelen","UR",56.361149111
"48","Gurtnellen","UR",55.681818182
"49","Ennetmoos","NW",55.543822598
"50","Saas-Grund","VS",55.382685069
