Comune,Cantone,Tasso di partecipazione
Ergisch,VS,84.666666667
Saas-Balen,VS,83.643122677
Wiler (Lötschen),VS,83.295194508
Rumendingen,BE,83.050847458
Saas-Almagell,VS,82.417582418
Kippel,VS,79.136690647
Blatten,VS,78.048780488
Ausserberg,VS,77.282377919
Zwischbergen,VS,77.083333333
Urmein,GR,75.396825397
Eischoll,VS,75.204359673
Törbel,VS,75.186104218
Sempione,VS,74.380165289
Merishausen,SH,73.405909798
Berken,BE,73.170731707
Rüdlingen,SH,73.154362416
Visperterminen,VS,73.040152964
Romoos,LU,72.784810127
Staldenried,VS,72.666666667
Löhningen,SH,72.103799815
Lalden,VS,72.079207921
Ferden,VS,71.563981043
Buchberg,SH,71.364985163
Lohn SH,SH,71.272727273
Riemenstalden,SZ,71.186440678
Turtmann-Unterems,VS,71.062271062
Saas-Grund,VS,71.002710027
Champoz,BE,70.3125
Flühli,LU,70.217729393
Dörflingen,SH,69.985974755
Büttenhardt,SH,69.6485623
Gampel-Bratsch,VS,69.598965071
Oberwil im Simmental,BE,68.49112426
Gächlingen,SH,68.162692847
Rovray,VD,68.148148148
Agarn,VS,68.097014925
Salgesch,VS,67.918088737
Eggerberg,VS,67.857142857
Wilchingen,SH,67.767929089
Stetten SH,SH,67.610062893
Greng,FR,67.479674797
Siblingen,SH,67.445482866
Chavannes-le-Veyron,VD,67.307692308
Habsburg,AG,67.278287462
Oltingen,BL,67.098445596
Mettembert,JU,67.058823529
Kilchberg BL,BL,66.929133858
Steg-Hohtenn,VS,66.86491079
Oberhallau,SH,66.763848397
Prato (Leventina),TI,66.666666667
